param,value,seed,utility,cost,budget,deadline,n_calls,budget_violated,deadline_violated
alpha,3.0,4,0.9282300238165662,26.817581502244757,131.01548431502064,19.915217779228293,14,0,0
alpha,3.0,5,0.9832818487838036,17.358568465622717,149.33336454465245,19.69637796290886,11,0,0
alpha,3.0,6,0.6395495156927163,24.536050599044252,126.55209712563077,19.86993088686194,14,0,0
alpha,3.0,7,0.7945077951300067,23.20469608721163,148.7419324445533,19.584242215613962,15,0,0
alpha,3.0,8,0.1339827785128911,5.730354532762661,139.92385079013988,19.87704963495569,6,0,0
alpha,3.0,9,0.7058780226657904,20.445013634147113,136.717012705972,19.762982826261513,16,0,0
alpha,3.0,10,0.4886626881129851,22.864706984775644,139.53704302188356,19.759855482008177,13,0,0
alpha,3.0,11,0.16545058286534775,21.398937334907533,142.11906871881425,18.881988822790863,6,0,0
alpha,3.0,12,0.7059278374760309,38.983450534683534,131.36517074246,19.89822128244683,23,0,0
alpha,3.0,13,0.1614862429319902,8.493760863942592,136.4461547241643,19.67659247876218,6,0,0
alpha,3.0,14,0.9045495259923597,42.81063293914212,150.70096728794314,19.5047880939765,17,0,0
alpha,3.0,15,0.9715077074006598,38.92851378074686,139.98617059580613,19.858286458952218,29,0,0
alpha,3.0,16,0.7748533790556422,30.91284133836787,132.6817257433571,19.46259657057163,21,0,0
alpha,3.0,17,0.933574751943769,32.73755035936395,124.55287044669659,19.48261073621164,21,0,0
alpha,3.0,18,0.7350829415068317,20.23459304040756,145.96829066729342,19.732999307034753,13,0,0
alpha,3.0,19,0.0,14.995419487498847,133.28594580775626,19.899987311242423,6,0,0
alpha,3.0,20,0.19427390889656437,9.495922574029997,133.22846797362914,19.446258146073056,6,0,0
alpha,3.0,21,0.23756743964729865,7.8062687124047185,138.9939578549572,19.169763374414195,6,0,0
alpha,3.0,22,0.9972490856574512,26.693570226265074,128.7034435733528,19.791064006320635,20,0,0
alpha,3.0,23,0.19741968565621637,6.594725401820488,116.19840039964434,19.06427635780648,6,0,0
alpha,3.0,24,0.16324273744641404,7.210142816542499,138.63558860454373,19.623604595414477,6,0,0
alpha,3.0,25,0.9798088609945739,18.601190309272432,147.32904386466254,19.220421990397696,16,0,0
alpha,3.0,26,0.9989118193618216,24.25767944438655,147.48253015619426,19.780841268110947,18,0,0
alpha,3.0,27,0.2697090551168059,9.695848153544228,147.83942974534577,19.940916274606835,6,0,0
alpha,3.0,28,0.13603482056264815,5.874658966578567,118.33007062433286,19.99668350876069,6,0,0
alpha,3.0,29,0.732857376520919,37.27509776723492,135.81224642120682,19.940753212490517,14,0,0
alpha,3.0,30,0.24325607215694156,8.806323884859573,127.1226810604837,19.422748022680757,6,0,0
alpha,3.0,31,0.0,7.698970071161405,139.5986964550037,19.96782694817969,6,0,0
alpha,3.0,32,0.9210391601072254,29.473053744256664,136.29085736129298,19.412993234633284,15,0,0
alpha,3.0,33,0.9799631019015734,22.75615207507428,125.83271371741759,19.864150439475342,14,0,0
alpha,3.0,34,0.537322693742925,26.934655011468223,112.09928382868941,17.75063506131898,13,0,0
alpha,3.0,35,0.7881119969227804,39.851970143156464,135.9409995273962,19.869549476527272,14,0,0
alpha,3.0,36,0.8862689331233117,18.678551382845512,135.69259215525759,19.277973163003445,13,0,0
alpha,3.0,37,0.9995355718104123,58.32725724778907,139.13076965847972,19.14055258776721,20,0,0
alpha,3.0,38,0.9998136821732385,42.403893978359775,139.15375900906196,19.814674913951794,28,0,0
alpha,3.0,39,0.24207013239211972,10.796578120665622,146.15413613494843,19.577824636863113,6,0,0
beta,0.5,0,0.990570498277992,24.189854875019048,138.45595138617307,19.79831315111142,17,0,0
beta,0.5,1,0.9991238076814459,22.43901992957794,128.53350870282495,19.421114789736464,13,0,0
beta,0.5,2,0.9857871570058704,58.61755820877872,145.74329524207283,19.406469506214734,30,0,0
beta,0.5,3,0.11168138603995847,7.605908839240939,147.3464896387357,19.749411953327396,6,0,0
beta,0.5,4,0.9984139463454829,24.14423462952108,134.0694720427166,19.17554553182602,18,0,0
beta,0.5,5,0.9998771002741239,23.834390314974222,133.95755411346542,19.976762446196425,20,0,0
beta,0.5,6,0.9974441492832439,38.87915546443682,139.75296048696057,19.58132523287313,21,0,0
beta,0.5,7,0.9999736096990599,36.99904473200419,135.69626763451444,19.87790396223045,21,0,0
beta,0.5,8,0.18625340264258794,7.3169988807996225,148.61941657223474,19.324247438680935,6,0,0
beta,0.5,9,0.0,6.864279275276615,157.57070742185005,19.776813486751475,6,0,0
beta,0.5,10,0.11222208837405112,11.22469559771613,167.75678594278568,19.827842302371387,6,0,0
beta,0.5,11,0.9806148577962351,49.7499082405282,142.43754933221558,19.581024736029775,26,0,0
beta,0.5,12,0.9993707135828966,38.11035151293512,133.70740214183985,19.79421914740733,21,0,0
beta,0.5,13,0.9998646987054085,57.47732325376612,131.0402145798244,19.70623753691147,33,0,0
beta,0.5,14,0.9701110412084551,35.05920311494046,135.58003262431782,19.423353941845797,18,0,0
beta,0.5,15,0.8259180155263834,57.96742669945343,140.09733671106608,19.857192033412176,18,0,0
beta,0.5,16,0.9005443443737409,33.728951291748146,142.38874537037427,19.716686608383768,21,0,0
beta,0.5,17,0.9991285609028501,20.14645736246126,141.19601381633657,19.98137169954908,14,0,0
beta,0.5,18,0.2729573818233748,9.035219400721356,132.15335874286734,18.976620778981285,6,0,0
beta,0.5,19,0.9600068236458146,16.07223597759665,129.97085185932008,19.855465468627955,11,0,0
beta,0.5,20,0.7792602978621548,37.116994057784034,133.65052854674212,19.225028893212674,19,0,0
beta,0.5,21,0.623630924170774,34.245394885259465,147.56994433424944,19.85677914950521,19,0,0
beta,0.5,22,0.9647715523627662,23.661578102816385,140.2091841465231,19.015417851028896,15,0,0
beta,0.5,23,0.9999999998816772,60.94440735489634,144.08360180829885,19.861209635496017,41,0,0
beta,0.5,24,0.14000882191749286,12.97770532212791,135.0816018011889,19.427697458469307,6,0,0
beta,0.5,25,0.9825770041174078,46.30648731563202,128.98909398673538,19.90960118264431,19,0,0
beta,0.5,26,0.7626477478638671,56.94462601818641,126.33793174454561,19.728475307152046,19,0,0
beta,0.5,27,0.9999929763867935,33.640686132943976,131.01496025385805,19.963667834437715,26,0,0
beta,0.5,28,0.8074083330070212,18.164938521759126,133.94279803040982,19.87409564665488,15,0,0
beta,0.5,29,0.9999509178114238,31.318759653132467,146.45240595160308,19.92284854195947,19,0,0
beta,0.5,30,0.9466448243329663,31.91945202993636,152.22095855862162,19.718400311290097,17,0,0
beta,0.5,31,0.9995832539101532,23.519098894903408,142.8273933897579,19.805998928882847,17,0,0
beta,0.5,32,0.17733397664106787,9.123526902622157,150.82187716023603,19.731034870269383,6,0,0
