K,rho,cost_tail,utility_sparsity,seed,policy,utility,cost,latency,n_calls,budget,deadline,budget_violated,deadline_violated,oracle_utility,regret
10,0.2,1.5,0.2,3481547325,nonadaptive_greedy,0.6836815172280231,10.044870616398965,3.271852076533164,2,13.800794740695233,18.668310225957512,0,0,0.7298894711458866,0.04620795391786359
10,0.2,1.5,0.2,3481547325,bwk_vanilla,0.01993287545493172,16.770080222018922,3.2545118083959967,2,13.800794740695233,18.668310225957512,1,0,0.7298894711458866,0.7099565956909549
10,0.2,1.5,0.2,3481547325,cbuc,0.13135246526560473,13.41834663077907,0.7444239966350832,6,13.800794740695233,18.668310225957512,0,0,0.7298894711458866,0.5985370058802819
10,0.2,1.5,0.2,3481547325,cbuc_mod,0.28059735129074226,9.664278004286615,0.5947536579519069,5,13.800794740695233,18.668310225957512,0,0,0.7298894711458866,0.4492921198551444
10,0.2,1.5,0.2,3481547325,cbuc_aggr,0.2680705348150626,8.565274296765422,0.784776180967424,6,13.800794740695233,18.668310225957512,0,0,0.7298894711458866,0.46181893633082405
10,0.2,1.5,0.2,3481547325,lagrangian,0.23949755796579375,12.819075655043802,3.0553864105439965,6,13.800794740695233,18.668310225957512,0,0,0.7298894711458866,0.4903919131800929
10,0.2,1.5,0.2,3481547325,cvar_bwk,0.10355178299381118,12.116393396740175,1.8454930811453902,3,13.800794740695233,18.668310225957512,0,0,0.7298894711458866,0.6263376881520755
10,0.2,1.5,0.2,3481547325,precheck_ucb,0.3350825316710506,11.863030100411413,0.8313466450373074,8,13.800794740695233,18.668310225957512,0,0,0.7298894711458866,0.394806939474836
10,0.2,1.5,0.2,3481547325,cc_knapsack,0.0,0.0,0.0,0,13.800794740695233,18.668310225957512,0,0,0.7298894711458866,0.7298894711458866
10,0.2,1.5,0.2,3100940694,react_uncapped,0.993850811720111,186.24161395225374,22.592280026624277,30,13.536731921314994,14.133066509118233,1,1,0.7625753794004501,-0.23127543231966097
10,0.2,1.5,0.2,3100940694,react_capped,0.7305746987732498,298.21991987982915,1.2612546378904401,2,13.536731921314994,14.133066509118233,1,0,0.7625753794004501,0.032000680627200295
10,0.2,1.5,0.2,3100940694,nonadaptive_greedy,0.7567652256333897,8.957462535585137,2.3885621673939914,3,13.536731921314994,14.133066509118233,0,0,0.7625753794004501,0.0058101537670604
10,0.2,1.5,0.2,3100940694,bwk_vanilla,0.39324234634233657,14.518453973972111,2.8744324948507467,3,13.536731921314994,14.133066509118233,1,0,0.7625753794004501,0.3693330330581135
10,0.2,1.5,0.2,3100940694,cbuc,0.0,120.20158095075725,0.7909352810159855,1,13.536731921314994,14.133066509118233,1,0,0.7625753794004501,0.7625753794004501
10,0.2,1.5,0.2,3100940694,cbuc_mod,0.06700162544488608,8.448067443464897,3.557483507702374,4,13.536731921314994,14.133066509118233,0,0,0.7625753794004501,0.695573753955564
10,0.2,1.5,0.2,3100940694,cbuc_aggr,0.042446143118991864,11.38618565398356,3.7189330091512423,4,13.536731921314994,14.133066509118233,0,0,0.7625753794004501,0.7201292362814582
10,0.2,1.5,0.2,3100940694,lagrangian,0.0,15.536731562286434,3.129552555123607,2,13.536731921314994,14.133066509118233,1,0,0.7625753794004501,0.7625753794004501
10,0.2,1.5,0.2,3100940694,cvar_bwk,0.16854892076051664,12.179051463316501,4.541395426204545,4,13.536731921314994,14.133066509118233,0,0,0.7625753794004501,0.5940264586399334
10,0.2,1.5,0.2,3100940694,precheck_ucb,0.19408435073902075,11.620895992855193,5.286253223289169,6,13.536731921314994,14.133066509118233,0,0,0.7625753794004501,0.5684910286614293
10,0.2,1.5,0.2,3100940694,cc_knapsack,0.0,0.0,0.0,0,13.536731921314994,14.133066509118233,0,0,0.7625753794004501,0.7625753794004501
